title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
We Will Rock You - Remastered,Queen,glam rock,1977,81,50,69,-7,26,48,122,68,12,79,False
Let It Be - Remastered 2009,The Beatles,british invasion,1970,143,40,44,-8,11,41,243,63,3,79,False
Mr. Blue Sky,Electric Light Orchestra,album rock,1977,178,34,39,-10,25,48,303,65,3,79,False
Tiny Dancer,Elton John,glam rock,1971,145,43,41,-11,15,28,377,38,3,79,False
Dreams - 2004 Remaster,Fleetwood Mac,album rock,1977,120,49,83,-10,13,79,258,6,3,79,False
I Was Made For Lovin' You,KISS,album rock,1979,128,85,77,-6,7,87,271,21,4,78,False
Immigrant Song - Remaster,Led Zeppelin,album rock,1970,113,93,56,-10,35,62,146,1,6,77,False
Imagine - Remastered,John Lennon,album rock,1971,76,26,55,-12,9,17,188,91,3,77,False
How Deep Is Your Love,Bee Gees,adult standards,1979,105,36,63,-9,13,67,245,11,3,77,False
We Are The Champions - Remastered 2011,Queen,glam rock,1977,64,46,27,-7,12,18,179,38,3,76,False
Don't Go Breaking My Heart,Elton John,glam rock,1975,131,84,73,-9,6,78,275,15,3,75,False
Somebody To Love - 2011 Mix,Queen,glam rock,1976,109,70,41,-7,23,33,296,19,6,75,False
Rock And Roll All Nite,KISS,album rock,1975,145,93,65,-6,5,90,169,5,10,75,False
Listen to the Music,The Doobie Brothers,album rock,1972,106,60,65,-13,7,91,227,22,3,75,False
Take It Easy - 2013 Remaster,Eagles,album rock,1972,139,67,57,-10,13,74,212,34,3,75,False
Smoke On The Water - Remastered 2012,Deep Purple,album rock,1972,114,68,60,-9,11,81,341,13,3,75,False
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,europop,1979,120,49,75,-10,16,54,293,2,4,74,False
Love Of My Life - Remastered 2011,Queen,glam rock,1975,154,18,33,-12,12,26,217,93,3,74,False
Father And Son,Yusuf / Cat Stevens,british folk,1970,136,33,50,-11,10,40,221,59,3,74,False
Rebel Rebel - 2016 Remaster,David Bowie,album rock,1974,126,69,64,-16,28,46,275,21,5,74,False
You're The One That I Want - From â€œGreaseâ€,John Travolta,hollywood,1978,107,61,76,-11,10,82,170,28,6,74,False
The Boys Are Back In Town,Thin Lizzy,album rock,1976,81,71,45,-10,21,77,267,23,5,74,False
Brandy (You're a Fine Girl),Looking Glass,soft rock,1972,125,63,72,-11,13,83,187,40,6,73,False
Starman - 2012 Remaster,David Bowie,album rock,1972,100,45,49,-10,54,55,254,17,3,73,False
Mamma Mia,ABBA,europop,1975,138,75,75,-7,47,83,213,30,3,72,False
Life in the Fast Lane - 2013 Remaster,Eagles,album rock,1976,110,76,67,-7,5,88,286,10,7,72,False
Rock with You - Single Version,Michael Jackson,pop,1979,114,54,81,-13,16,85,221,18,4,72,False
Another Brick In The Wall Pt. 2 - 2011 Remastered Version,Pink Floyd,album rock,1979,104,39,69,-16,25,72,239,8,4,72,False
YMCA - Original Version 1978,Village People,disco,1978,127,97,72,-5,12,73,287,6,14,71,False
